0, 0, 19455, 38930, -1, -1, -1, -1
1, 56.3291, 1347, 2714, -1, -1, -1, -1
2, 0.023663, 1662, 9959, -1, -1, -1, -1
3, 3.63413, 5193, 28307, 1.70027e+06, 1529.25, 0, -1
7, 3.97939, 1849, 10996, 1603.86, 12.1353, -1, -1
6, 0.086845, 12144, 60542, 1603.86, 7.7599, -1, -1
7, 3.3352, 5028, 26544, 1603.86, 6.00041, -1, -1
8, 0.164732, 5028, 25573, 101.952, 5.00157, -1, -1
9, 1.51726, 5028, 25573, 87.8606, 4.63785, -1, -1
6, 0.032097, 7413, 36432, 87.8606, 4.55819, -1, -1
7, 1.68107, 5208, 26760, 57.7737, 4.55147, -1, -1
8, 0.119114, 5208, 26648, 38.7466, 4.48829, -1, -1
9, 1.21961, 5208, 26648, 38.7466, 4.38186, -1, -1
6, 0.024328, 6659, 32642, 38.7466, 4.35926, -1, -1
7, 1.07468, 5164, 26508, 38.7466, 4.36723, -1, -1
8, 0.113629, 5164, 26492, 38.7466, 4.35228, -1, -1
9, 1.16962, 5164, 26492, 35.2266, 4.30351, -1, -1
6, 0.022553, 6313, 30953, 37.5406, 4.29116, -1, -1
7, 1.02682, 5129, 26423, 35.2266, 4.30755, -1, -1
8, 0.116542, 5129, 26404, 35.2266, 4.29634, -1, -1
9, 1.1681, 5129, 26404, 35.2266, 4.27111, -1, -1
6, 0.069683, 12839, 65642, 41.8031, 4.60878, -1, -1
7, 2.05963, 7483, 39551, 20.3784, 4.0731, -1, -1
8, 0.296045, 7483, 39403, 20.3784, 4.02534, -1, -1
9, 2.26911, 7483, 39403, 19.2406, 3.88167, -1, -1
6, 0.06628, 10139, 51371, 19.2406, 3.97067, -1, -1
7, 1.61998, 7528, 39773, 19.2406, 3.87409, -1, -1
8, 0.226687, 7528, 39715, 19.2406, 3.85854, -1, -1
9, 1.60946, 7528, 39715, 18.887, 3.79657, -1, -1
6, 0.080074, 14077, 73065, 22.476, 4.20138, -1, -1
7, 1.41512, 9266, 49806, 14.4396, 3.82747, -1, -1
8, 0.312256, 9266, 49676, 13.5247, 3.7967, -1, -1
9, 2.06333, 9266, 49676, 13.0176, 3.67862, -1, -1
6, 0.076343, 11611, 60041, 13.0176, 3.7878, -1, -1
7, 1.18744, 9190, 49382, 11.6363, 3.67523, -1, -1
8, 0.34562, 9190, 49360, 10.8295, 3.66866, -1, -1
9, 1.79868, 9190, 49360, 10.8295, 3.62271, -1, -1
6, 0.056481, 10894, 56516, 10.8295, 3.70354, -1, -1
7, 0.822899, 9131, 49088, 10.8295, 3.62996, -1, -1
8, 0.295546, 9131, 49077, 10.8295, 3.62741, -1, -1
9, 1.47743, 9131, 49077, 10.7793, 3.60336, -1, -1
6, 0.051158, 10612, 55468, 10.7793, 3.68628, -1, -1
7, 0.77612, 9336, 50222, 9.1417, 3.62294, -1, -1
8, 0.245604, 9336, 50211, 9.1417, 3.62055, -1, -1
9, 1.2089, 9336, 50211, 7.80377, 3.59753, -1, -1
7, 0.592212, 9185, 49425, 7.74974, 3.59452, -1, -1
4, 37.9655, 9185, 49425, 7.74974, 3.59452, -1, -1
5, 0.544019, 4171, 16540, 7.24144, 3.67594, -1, -1
-1, 98.4964, 4171, 16540, 7.24144, 3.67594, 0, 243
